Date,年,季,月,月份名稱,年份月份,星期,工作日,年週序,交通匹配欄
2005/1/29 上午 12:00:00,2005,Q1,01,1月,2005-Jan,週六,週末,2005W5,週六
2005/1/3 上午 12:00:00,2005,Q1,01,1月,2005-Jan,週一,平日,2005W2,非參考日
2005/1/30 上午 12:00:00,2005,Q1,01,1月,2005-Jan,週日,週末,2005W5,週日
2005/1/31 上午 12:00:00,2005,Q1,01,1月,2005-Jan,週一,平日,2005W6,非參考日
2005/1/4 上午 12:00:00,2005,Q1,01,1月,2005-Jan,週二,平日,2005W2,週2-4
2005/1/5 上午 12:00:00,2005,Q1,01,1月,2005-Jan,週三,平日,2005W2,週2-4
2005/1/6 上午 12:00:00,2005,Q1,01,1月,2005-Jan,週四,平日,2005W2,週2-4
2005/1/7 上午 12:00:00,2005,Q1,01,1月,2005-Jan,週五,平日,2005W2,非參考日
2005/1/8 上午 12:00:00,2005,Q1,01,1月,2005-Jan,週六,週末,2005W2,週六
2005/1/9 上午 12:00:00,2005,Q1,01,1月,2005-Jan,週日,週末,2005W2,週日
2005/10/1 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週六,週末,2005W40,週六
2005/10/10 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週一,平日,2005W42,非參考日
2005/10/11 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週二,平日,2005W42,週2-4
2005/10/12 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週三,平日,2005W42,週2-4
2005/10/13 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週四,平日,2005W42,週2-4
2005/10/14 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週五,平日,2005W42,非參考日
2005/10/15 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週六,週末,2005W42,週六
2005/10/16 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週日,週末,2005W42,週日
2005/10/17 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週一,平日,2005W43,非參考日
2005/10/18 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週二,平日,2005W43,週2-4
2005/10/19 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週三,平日,2005W43,週2-4
2005/10/2 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週日,週末,2005W40,週日
2005/10/20 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週四,平日,2005W43,週2-4
2005/10/21 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週五,平日,2005W43,非參考日
2005/10/22 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週六,週末,2005W43,週六
2005/10/23 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週日,週末,2005W43,週日
2005/10/24 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週一,平日,2005W44,非參考日
2005/10/25 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週二,平日,2005W44,週2-4
2005/10/26 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週三,平日,2005W44,週2-4
2005/10/27 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週四,平日,2005W44,週2-4
2005/10/28 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週五,平日,2005W44,非參考日
2005/10/29 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週六,週末,2005W44,週六
2005/10/3 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週一,平日,2005W41,非參考日
2005/10/30 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週日,週末,2005W44,週日
2005/10/31 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週一,平日,2005W45,非參考日
2005/10/4 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週二,平日,2005W41,週2-4
2005/10/5 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週三,平日,2005W41,週2-4
2005/10/6 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週四,平日,2005W41,週2-4
2005/10/7 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週五,平日,2005W41,非參考日
2005/10/8 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週六,週末,2005W41,週六
2005/10/9 上午 12:00:00,2005,Q4,10,10月,2005-Oct,週日,週末,2005W41,週日
2005/11/1 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週二,平日,2005W45,週2-4
2005/11/10 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週四,平日,2005W46,週2-4
2005/11/11 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週五,平日,2005W46,非參考日
2005/11/12 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週六,週末,2005W46,週六
2005/11/13 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週日,週末,2005W46,週日
2005/11/14 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週一,平日,2005W47,非參考日
2005/11/15 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週二,平日,2005W47,週2-4
2005/11/16 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週三,平日,2005W47,週2-4
2005/11/17 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週四,平日,2005W47,週2-4
2005/11/18 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週五,平日,2005W47,非參考日
2005/11/19 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週六,週末,2005W47,週六
2005/11/2 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週三,平日,2005W45,週2-4
2005/11/20 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週日,週末,2005W47,週日
2005/11/21 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週一,平日,2005W48,非參考日
2005/11/22 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週二,平日,2005W48,週2-4
2005/11/23 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週三,平日,2005W48,週2-4
2005/11/24 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週四,平日,2005W48,週2-4
2005/11/25 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週五,平日,2005W48,非參考日
2005/11/26 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週六,週末,2005W48,週六
2005/11/27 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週日,週末,2005W48,週日
2005/11/28 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週一,平日,2005W49,非參考日
2005/11/29 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週二,平日,2005W49,週2-4
2005/11/3 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週四,平日,2005W45,週2-4
2005/11/30 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週三,平日,2005W49,週2-4
2005/11/4 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週五,平日,2005W45,非參考日
2005/11/5 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週六,週末,2005W45,週六
2005/11/6 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週日,週末,2005W45,週日
2005/11/7 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週一,平日,2005W46,非參考日
2005/11/8 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週二,平日,2005W46,週2-4
2005/11/9 上午 12:00:00,2005,Q4,11,11月,2005-Nov,週三,平日,2005W46,週2-4
2005/12/1 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週四,平日,2005W49,週2-4
2005/12/10 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週六,週末,2005W50,週六
2005/12/11 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週日,週末,2005W50,週日
2005/12/12 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週一,平日,2005W51,非參考日
2005/12/13 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週二,平日,2005W51,週2-4
2005/12/14 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週三,平日,2005W51,週2-4
2005/12/15 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週四,平日,2005W51,週2-4
2005/12/16 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週五,平日,2005W51,非參考日
2005/12/17 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週六,週末,2005W51,週六
2005/12/18 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週日,週末,2005W51,週日
2005/12/19 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週一,平日,2005W52,非參考日
2005/12/2 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週五,平日,2005W49,非參考日
2005/12/20 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週二,平日,2005W52,週2-4
2005/12/21 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週三,平日,2005W52,週2-4
2005/12/22 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週四,平日,2005W52,週2-4
2005/12/23 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週五,平日,2005W52,非參考日
2005/12/24 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週六,週末,2005W52,週六
2005/12/25 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週日,週末,2005W52,週日
2005/12/26 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週一,平日,2005W53,非參考日
2005/12/27 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週二,平日,2005W53,週2-4
2005/12/28 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週三,平日,2005W53,週2-4
2005/12/29 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週四,平日,2005W53,週2-4
2005/12/3 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週六,週末,2005W49,週六
2005/12/30 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週五,平日,2005W53,非參考日
2005/12/31 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週六,週末,2005W53,週六
2005/12/4 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週日,週末,2005W49,週日
2005/12/5 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週一,平日,2005W50,非參考日
2005/12/6 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週二,平日,2005W50,週2-4
2005/12/7 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週三,平日,2005W50,週2-4
2005/12/8 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週四,平日,2005W50,週2-4
2005/12/9 上午 12:00:00,2005,Q4,12,12月,2005-Dec,週五,平日,2005W50,非參考日
2005/2/1 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週二,平日,2005W6,週2-4
2005/2/10 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週四,平日,2005W7,週2-4
2005/2/11 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週五,平日,2005W7,非參考日
2005/2/12 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週六,週末,2005W7,週六
2005/2/13 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週日,週末,2005W7,週日
2005/2/14 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週一,平日,2005W8,非參考日
2005/2/15 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週二,平日,2005W8,週2-4
2005/2/16 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週三,平日,2005W8,週2-4
2005/2/17 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週四,平日,2005W8,週2-4
2005/2/18 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週五,平日,2005W8,非參考日
2005/2/19 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週六,週末,2005W8,週六
2005/2/2 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週三,平日,2005W6,週2-4
2005/2/20 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週日,週末,2005W8,週日
2005/2/21 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週一,平日,2005W9,非參考日
2005/2/22 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週二,平日,2005W9,週2-4
2005/2/23 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週三,平日,2005W9,週2-4
2005/2/24 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週四,平日,2005W9,週2-4
2005/2/25 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週五,平日,2005W9,非參考日
2005/2/26 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週六,週末,2005W9,週六
2005/2/27 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週日,週末,2005W9,週日
2005/2/28 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週一,平日,2005W10,非參考日
2005/2/3 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週四,平日,2005W6,週2-4
2005/2/4 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週五,平日,2005W6,非參考日
2005/2/5 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週六,週末,2005W6,週六
2005/2/6 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週日,週末,2005W6,週日
2005/2/7 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週一,平日,2005W7,非參考日
2005/2/8 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週二,平日,2005W7,週2-4
2005/2/9 上午 12:00:00,2005,Q1,02,2月,2005-Feb,週三,平日,2005W7,週2-4
2005/3/1 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週二,平日,2005W10,週2-4
2005/3/10 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週四,平日,2005W11,週2-4
2005/3/11 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週五,平日,2005W11,非參考日
2005/3/12 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週六,週末,2005W11,週六
2005/3/13 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週日,週末,2005W11,週日
2005/3/14 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週一,平日,2005W12,非參考日
2005/3/15 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週二,平日,2005W12,週2-4
2005/3/16 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週三,平日,2005W12,週2-4
2005/3/17 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週四,平日,2005W12,週2-4
2005/3/18 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週五,平日,2005W12,非參考日
2005/3/19 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週六,週末,2005W12,週六
2005/3/2 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週三,平日,2005W10,週2-4
2005/3/20 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週日,週末,2005W12,週日
2005/3/21 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週一,平日,2005W13,非參考日
2005/3/22 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週二,平日,2005W13,週2-4
2005/3/23 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週三,平日,2005W13,週2-4
2005/3/24 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週四,平日,2005W13,週2-4
2005/3/25 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週五,平日,2005W13,非參考日
2005/3/26 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週六,週末,2005W13,週六
2005/3/27 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週日,週末,2005W13,週日
2005/3/28 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週一,平日,2005W14,非參考日
2005/3/29 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週二,平日,2005W14,週2-4
2005/3/3 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週四,平日,2005W10,週2-4
2005/3/30 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週三,平日,2005W14,週2-4
2005/3/31 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週四,平日,2005W14,週2-4
2005/3/4 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週五,平日,2005W10,非參考日
2005/3/5 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週六,週末,2005W10,週六
2005/3/6 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週日,週末,2005W10,週日
2005/3/7 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週一,平日,2005W11,非參考日
2005/3/8 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週二,平日,2005W11,週2-4
2005/3/9 上午 12:00:00,2005,Q1,03,3月,2005-Mar,週三,平日,2005W11,週2-4
2005/4/1 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週五,平日,2005W14,非參考日
2005/4/10 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週日,週末,2005W15,週日
2005/4/11 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週一,平日,2005W16,非參考日
2005/4/12 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週二,平日,2005W16,週2-4
2005/4/13 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週三,平日,2005W16,週2-4
2005/4/14 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週四,平日,2005W16,週2-4
2005/4/15 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週五,平日,2005W16,非參考日
2005/4/16 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週六,週末,2005W16,週六
2005/4/17 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週日,週末,2005W16,週日
2005/4/18 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週一,平日,2005W17,非參考日
2005/4/19 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週二,平日,2005W17,週2-4
2005/4/2 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週六,週末,2005W14,週六
2005/4/20 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週三,平日,2005W17,週2-4
2005/4/21 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週四,平日,2005W17,週2-4
2005/4/22 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週五,平日,2005W17,非參考日
2005/4/23 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週六,週末,2005W17,週六
2005/4/24 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週日,週末,2005W17,週日
2005/4/25 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週一,平日,2005W18,非參考日
2005/4/26 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週二,平日,2005W18,週2-4
2005/4/27 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週三,平日,2005W18,週2-4
2005/4/28 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週四,平日,2005W18,週2-4
2005/4/29 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週五,平日,2005W18,非參考日
2005/4/3 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週日,週末,2005W14,週日
2005/4/30 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週六,週末,2005W18,週六
2005/4/4 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週一,平日,2005W15,非參考日
2005/4/5 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週二,平日,2005W15,週2-4
2005/4/6 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週三,平日,2005W15,週2-4
2005/4/7 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週四,平日,2005W15,週2-4
2005/4/8 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週五,平日,2005W15,非參考日
2005/4/9 上午 12:00:00,2005,Q2,04,4月,2005-Apr,週六,週末,2005W15,週六
2005/5/1 上午 12:00:00,2005,Q2,05,5月,2005-May,週日,週末,2005W18,週日
2005/5/10 上午 12:00:00,2005,Q2,05,5月,2005-May,週二,平日,2005W20,週2-4
2005/5/11 上午 12:00:00,2005,Q2,05,5月,2005-May,週三,平日,2005W20,週2-4
2005/5/12 上午 12:00:00,2005,Q2,05,5月,2005-May,週四,平日,2005W20,週2-4
2005/5/13 上午 12:00:00,2005,Q2,05,5月,2005-May,週五,平日,2005W20,非參考日
2005/5/14 上午 12:00:00,2005,Q2,05,5月,2005-May,週六,週末,2005W20,週六
2005/5/15 上午 12:00:00,2005,Q2,05,5月,2005-May,週日,週末,2005W20,週日
2005/5/16 上午 12:00:00,2005,Q2,05,5月,2005-May,週一,平日,2005W21,非參考日
2005/5/17 上午 12:00:00,2005,Q2,05,5月,2005-May,週二,平日,2005W21,週2-4
2005/5/18 上午 12:00:00,2005,Q2,05,5月,2005-May,週三,平日,2005W21,週2-4
2005/5/19 上午 12:00:00,2005,Q2,05,5月,2005-May,週四,平日,2005W21,週2-4
2005/5/2 上午 12:00:00,2005,Q2,05,5月,2005-May,週一,平日,2005W19,非參考日
2005/5/20 上午 12:00:00,2005,Q2,05,5月,2005-May,週五,平日,2005W21,非參考日
2005/5/21 上午 12:00:00,2005,Q2,05,5月,2005-May,週六,週末,2005W21,週六
2005/5/22 上午 12:00:00,2005,Q2,05,5月,2005-May,週日,週末,2005W21,週日
2005/5/23 上午 12:00:00,2005,Q2,05,5月,2005-May,週一,平日,2005W22,非參考日
2005/5/24 上午 12:00:00,2005,Q2,05,5月,2005-May,週二,平日,2005W22,週2-4
2005/5/25 上午 12:00:00,2005,Q2,05,5月,2005-May,週三,平日,2005W22,週2-4
2005/5/26 上午 12:00:00,2005,Q2,05,5月,2005-May,週四,平日,2005W22,週2-4
2005/5/27 上午 12:00:00,2005,Q2,05,5月,2005-May,週五,平日,2005W22,非參考日
2005/5/28 上午 12:00:00,2005,Q2,05,5月,2005-May,週六,週末,2005W22,週六
2005/5/29 上午 12:00:00,2005,Q2,05,5月,2005-May,週日,週末,2005W22,週日
2005/5/3 上午 12:00:00,2005,Q2,05,5月,2005-May,週二,平日,2005W19,週2-4
2005/5/30 上午 12:00:00,2005,Q2,05,5月,2005-May,週一,平日,2005W23,非參考日
2005/5/31 上午 12:00:00,2005,Q2,05,5月,2005-May,週二,平日,2005W23,週2-4
2005/5/4 上午 12:00:00,2005,Q2,05,5月,2005-May,週三,平日,2005W19,週2-4
2005/5/5 上午 12:00:00,2005,Q2,05,5月,2005-May,週四,平日,2005W19,週2-4
2005/5/6 上午 12:00:00,2005,Q2,05,5月,2005-May,週五,平日,2005W19,非參考日
2005/5/7 上午 12:00:00,2005,Q2,05,5月,2005-May,週六,週末,2005W19,週六
2005/5/8 上午 12:00:00,2005,Q2,05,5月,2005-May,週日,週末,2005W19,週日
2005/5/9 上午 12:00:00,2005,Q2,05,5月,2005-May,週一,平日,2005W20,非參考日
2005/6/1 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週三,平日,2005W23,週2-4
2005/6/10 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週五,平日,2005W24,非參考日
2005/6/11 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週六,週末,2005W24,週六
2005/6/12 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週日,週末,2005W24,週日
2005/6/13 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週一,平日,2005W25,非參考日
2005/6/14 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週二,平日,2005W25,週2-4
2005/6/15 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週三,平日,2005W25,週2-4
2005/6/16 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週四,平日,2005W25,週2-4
2005/6/17 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週五,平日,2005W25,非參考日
2005/6/18 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週六,週末,2005W25,週六
2005/6/19 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週日,週末,2005W25,週日
2005/6/2 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週四,平日,2005W23,週2-4
2005/6/20 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週一,平日,2005W26,非參考日
2005/6/21 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週二,平日,2005W26,週2-4
2005/6/22 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週三,平日,2005W26,週2-4
2005/6/23 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週四,平日,2005W26,週2-4
2005/6/24 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週五,平日,2005W26,非參考日
2005/6/25 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週六,週末,2005W26,週六
2005/6/26 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週日,週末,2005W26,週日
2005/6/27 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週一,平日,2005W27,非參考日
2005/6/28 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週二,平日,2005W27,週2-4
2005/6/29 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週三,平日,2005W27,週2-4
2005/6/3 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週五,平日,2005W23,非參考日
2005/6/30 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週四,平日,2005W27,週2-4
2005/6/4 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週六,週末,2005W23,週六
2005/6/5 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週日,週末,2005W23,週日
2005/6/6 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週一,平日,2005W24,非參考日
2005/6/7 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週二,平日,2005W24,週2-4
2005/6/8 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週三,平日,2005W24,週2-4
2005/6/9 上午 12:00:00,2005,Q2,06,6月,2005-Jun,週四,平日,2005W24,週2-4
2005/7/1 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週五,平日,2005W27,非參考日
2005/7/10 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週日,週末,2005W28,週日
2005/7/11 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週一,平日,2005W29,非參考日
2005/7/12 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週二,平日,2005W29,週2-4
2005/7/13 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週三,平日,2005W29,週2-4
2005/7/14 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週四,平日,2005W29,週2-4
2005/7/15 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週五,平日,2005W29,非參考日
2005/7/16 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週六,週末,2005W29,週六
2005/7/17 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週日,週末,2005W29,週日
2005/7/18 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週一,平日,2005W30,非參考日
2005/7/19 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週二,平日,2005W30,週2-4
2005/7/2 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週六,週末,2005W27,週六
2005/7/20 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週三,平日,2005W30,週2-4
2005/7/21 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週四,平日,2005W30,週2-4
2005/7/22 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週五,平日,2005W30,非參考日
2005/7/23 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週六,週末,2005W30,週六
2005/7/24 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週日,週末,2005W30,週日
2005/7/25 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週一,平日,2005W31,非參考日
2005/7/26 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週二,平日,2005W31,週2-4
2005/7/27 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週三,平日,2005W31,週2-4
2005/7/28 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週四,平日,2005W31,週2-4
2005/7/29 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週五,平日,2005W31,非參考日
2005/7/3 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週日,週末,2005W27,週日
2005/7/30 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週六,週末,2005W31,週六
2005/7/31 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週日,週末,2005W31,週日
2005/7/4 上午 12:00:00,2005,Q3,07,7月,2005-Jul,週一,平日,2005W28,非參考日
